feature,coef_scaled,coef_real
tendencia,154058.41681268,2044.743017827448
dummy_2021,305982.94704648684,766060.228429969
dummy_2022,162472.11716121808,331858.4277141395
dummy_2023,91033.00132084674,185644.6423386225
dummy_2024,129231.09653705906,321246.1521375586
fin_de_semana,206756.78666259762,11713364.327513738
payday_flag,2187.0158276395146,5876.848531592415
rebajas_flag,1791.5366532873156,4487.279526579273
black_friday_flag,-7202.579768576366,-47879.50288052445
navidad_flag,-16283.883670051975,-69561.78066580718
semana_santa_flag,-2655.5966439619983,-21568.771029094394
vacaciones_flag,-394.34555104000884,-994.4766312257309
festivo_local_flag,-936.1703447832062,-4619.789854369472
temperatura_media_c,20399.45269060755,3364.2868873909215
lluvia_indice,36397.511518706524,3406.7696195819417
turismo_indice,5158.1400976254345,268.37559811235866
incidencia_ecommerce,-3471.688140479888,-13247.734978293427
bloque_digital_perf,5473.5722589513525,0.11500248773840961
bloque_digital_awareness,6979.168208938476,0.16640018563031744
bloque_offline,-4983.695237629541,-0.0976895551795267
bloque_crm,-2752.850103059319,-0.5378364461031435
