fecha,venta_neta_eur,unidades,num_lineas,fin_de_semana,payday_flag,rebajas_flag,black_friday_flag,navidad_flag,semana_santa_flag,vacaciones_flag,festivo_local_flag,temperatura_media_c,lluvia_indice,turismo_indice,incidencia_ecommerce,tendencia,anio,dummy_anio_2021,dummy_anio_2022,dummy_anio_2023,dummy_anio_2024,sesiones_web,pedidos_online,visitas_tienda,conv_web_pct,ads_display,ads_email_crm,ads_exterior,ads_paid_search,ads_prensa,ads_radio_local,ads_social_paid,ads_video_online
2020-01-01,252761.71,6635,2624,0,1,0,0,0,0,0,0,9.67,61.17999999999999,25.48,0,0,2020,0,0,0,0,1925,53.0,338,0.03685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02,262162.63,6841,2745,0,1,0,0,0,0,0,0,8.9,58.92999999999999,31.839999999999996,0,1,2020,0,0,0,0,1951,49.0,275,0.03691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,255724.04,6624,2674,0,1,0,0,0,0,0,0,7.8,54.39,31.890000000000004,0,2,2020,0,0,0,0,1834,40.0,316,0.03345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-04,258620.66,6694,2677,1,1,0,0,0,0,0,0,8.67,55.370000000000005,24.63,0,3,2020,0,0,0,0,2241,53.0,356,0.036570000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-05,260597.72,6739,2704,1,1,0,0,0,0,0,0,8.629999999999999,57.82000000000001,27.26,1,4,2020,0,0,0,0,1888,52.0,408,0.03662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,242618.59,6350,2563,0,0,0,0,0,0,0,0,9.440000000000001,64.51,29.990000000000002,0,5,2020,0,0,0,0,2125,49.0,326,0.03475,0.0,1061.4785714285715,0.0,4608.005714285714,0.0,0.0,0.0,0.0
2020-01-07,252533.16,6633,2683,0,0,1,0,0,0,0,0,9.93,62.31,36.97,0,6,2020,0,0,0,0,1517,49.0,363,0.05314,1749.9757142857143,1273.7742857142857,0.0,5990.407428571429,1795.2414285714287,2511.171428571429,3837.727142857143,0.0
2020-01-08,247350.25,6414,2548,0,0,1,0,0,0,0,0,9.65,55.21,33.89,0,7,2020,0,0,0,0,1345,46.0,320,0.051949999999999996,2624.9635714285714,1316.2334285714287,3124.672857142857,6405.127942857142,2513.338,3766.757142857143,5372.818,3866.552857142857
2020-01-09,252007.72,6637,2636,0,0,1,0,0,0,0,0,9.66,50.910000000000004,35.17,0,8,2020,0,0,0,0,1366,52.0,330,0.05125,3062.4575,1324.7252571428573,4999.476571428571,6529.544097142856,2800.576628571429,4394.55,5986.854342857143,6186.484571428571
2020-01-10,250437.38,6524,2613,0,0,1,0,0,0,0,0,10.5,50.230000000000004,27.01,0,9,2020,0,0,0,0,1859,59.0,349,0.05021,3281.2044642857145,1326.423622857143,6124.3588,6566.868943428571,2915.4720800000005,4708.446428571429,6232.46888,7578.4436
